location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Hypothymis azurea,Monarchidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Adinandra integerrima,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Bridelia insulana,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Dendrocnide stimulans,Urticaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Litsea monopetala,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Mastixia pentandra,Nyssaceae,NA,Cornales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Rhus rhetsoides,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Saurauia roxburghii,Actinidiaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Schefflera heptaphylla,Araliaceae,NA,Apiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Slonea sigun,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Symplococos cochinchinensis,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Iole propinqua,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Viburnum cylindricum,Adoxaceae,NA,Dipsacales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Dendrocnide stimulans,Urticaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Litsea monopetala,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Mastixia pentandra,Nyssaceae,NA,Cornales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Schefflera heptaphylla,Araliaceae,NA,Apiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Slonea sigun,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Symplococos cochinchinensis,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Loriculus vernalis,Psittacidae,Aves,Psittaciformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macronus gularis,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macronus gularis,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macronus gularis,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Schefflera heptaphylla,Araliaceae,NA,Apiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macronus gularis,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Viburnum cylindricum,Adoxaceae,NA,Dipsacales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macropygia unchall,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Macropygia unchall,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,mountain imperial pigeon,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Moustached barbet,NA,NA,NA,NA,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Oriental pied hornbill,Bucerotidae,Aves,Bucerotiformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Oriental pied hornbill,Bucerotidae,Aves,Bucerotiformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Oriolus chinensis,Corvidae,Aves,Passeriformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pericrocotus cantonensis,Campephagidae,Aves,Passeriformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pericrocotus cantonensis,Campephagidae,Aves,Passeriformes,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pomatorhinus schisticeps,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pomatorhinus schisticeps,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pomatorhinus schisticeps,Timaliidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon duvaucelii,NA,NA,NA,NA,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon duvaucelii,NA,NA,NA,NA,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon duvaucelii,NA,NA,NA,NA,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Adinandra integerrima,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Bridelia insulana,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Cinnamomum camphora,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Dendrocnide stimulans,Urticaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Litsea monopetala,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Mastixia pentandra,Nyssaceae,NA,Cornales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Rhus rhetsoides,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Schefflera heptaphylla,Araliaceae,NA,Apiales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Slonea sigun,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon faiostrictus,NA,NA,NA,NA,ncbi,Symplococos cochinchinensis,NA,NA,NA,NA,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon incognitus,NA,NA,NA,NA,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon incognitus,NA,NA,NA,NA,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon incognitus,NA,NA,NA,NA,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Psilopogon incognitus,NA,NA,NA,NA,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus atriceps,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus atriceps,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Eurya nitida,Pentaphylacaceae,NA,Ericales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus atriceps,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus finlaysoni,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Aidia densiflora,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus finlaysoni,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ficus nervosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus finlaysoni,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ilex chevalieri,Aquifoliaceae,NA,Aquifoliales,Viridiplantae,,,,,,
"Mo Singto, Thailand",,"Sankamenthawee, W. Pierce, A. Gale, G. Hardesty, B. 2011. Plant frugivore interactions in an intact tropical forest in tnorth east Thailand.  Integrative Zoology: 6: 195-212.",ncbi,Pycnonotus finlaysoni,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Rhus rhetsoides,NA,NA,NA,NA,,,,,,
